date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-12-01,BA,Nova Itarana,city,751,9,True,8279,2922805,9071.14386,0.012
2021-12-01,BA,Nova Redenção,city,213,4,True,9123,2922854,2334.7583,0.0188
2021-12-01,BA,Nova Soure,city,857,27,True,26998,2922904,3174.30921,0.0315
2021-12-01,BA,Nova Viçosa,city,3083,51,True,43783,2923001,7041.54581,0.0165
2021-12-01,BA,Novo Horizonte,city,502,10,True,12522,2923035,4008.94426,0.0199
2021-12-01,BA,Novo Triunfo,city,655,8,True,15443,2923050,4241.40387,0.0122
2021-12-01,BA,Olindina,city,1467,24,True,28304,2923100,5183.013,0.0164
2021-12-01,BA,Oliveira dos Brejinhos,city,1152,17,True,21810,2923209,5281.98074,0.0148
2021-12-01,BA,Ouriçangas,city,552,10,True,8570,2923308,6441.07351,0.0181
2021-12-01,BA,Ourolândia,city,1715,15,True,17511,2923357,9793.84387,0.0087
2021-12-01,BA,Palmas de Monte Alto,city,1026,18,True,21796,2923407,4707.28574,0.0175
2021-12-01,BA,Palmeiras,city,362,10,True,9071,2923506,3990.73972,0.0276
2021-12-01,BA,Paramirim,city,685,20,True,21695,2923605,3157.40954,0.0292
2021-12-01,BA,Paratinga,city,1649,32,True,32141,2923704,5130.51865,0.0194
2021-12-01,BA,Paripiranga,city,1460,31,True,29058,2923803,5024.43389,0.0212
2021-12-01,BA,Pau Brasil,city,1009,25,True,9686,2923902,10417.09684,0.0248
2021-12-01,BA,Paulo Afonso,city,8950,238,True,118516,2924009,7551.72297,0.0266
2021-12-01,BA,Pé de Serra,city,1697,9,True,13556,2924058,12518.44202,0.0053
2021-12-01,BA,Pedrão,city,352,3,True,7394,2924108,4760.61672,0.0085
2021-12-01,BA,Pedro Alexandre,city,551,9,True,16682,2924207,3302.96128,0.0163
2021-12-01,BA,Piatã,city,1396,30,True,16984,2924306,8219.50071,0.0215
2021-12-01,BA,Pilão Arcado,city,803,23,True,35175,2924405,2282.87136,0.0286
2021-12-01,BA,Pindaí,city,904,11,True,16285,2924504,5551.12066,0.0122
2021-12-01,BA,Pindobaçu,city,1644,31,True,20098,2924603,8179.9184,0.0189
2021-12-01,BA,Pintadas,city,962,8,True,10394,2924652,9255.33962,0.0083
2021-12-01,BA,Piraí do Norte,city,934,12,True,10036,2924678,9306.49661,0.0128
2021-12-01,BA,Piripá,city,997,9,True,10475,2924702,9517.89976,0.009
2021-12-01,BA,Piritiba,city,763,15,True,24964,2924801,3056.40122,0.0197
2021-12-01,BA,Planaltino,city,630,9,True,9370,2924900,6723.58591,0.0143
2021-12-01,BA,Planalto,city,1940,33,True,26426,2925006,7341.25482,0.017
2021-12-01,BA,Poções,city,4057,83,True,46879,2925105,8654.19484,0.0205
2021-12-01,BA,Pojuca,city,4194,52,True,39972,2925204,10492.34464,0.0124
2021-12-01,BA,Ponto Novo,city,690,12,True,14819,2925253,4656.18463,0.0174
2021-12-01,BA,Porto Seguro,city,13068,246,True,150658,2925303,8673.95027,0.0188
2021-12-01,BA,Potiraguá,city,544,12,True,6916,2925402,7865.81839,0.0221
2021-12-01,BA,Prado,city,2345,58,True,28194,2925501,8317.37249,0.0247
2021-12-01,BA,Presidente Dutra,city,1520,26,True,15160,2925600,10026.38522,0.0171
2021-12-01,BA,Presidente Jânio Quadros,city,723,13,True,12179,2925709,5936.44798,0.018
2021-12-01,BA,Presidente Tancredo Neves,city,1858,41,True,28004,2925758,6634.76646,0.0221
2021-12-01,BA,Queimadas,city,1641,44,True,25433,2925808,6452.24708,0.0268
2021-12-01,BA,Quijingue,city,501,21,True,27626,2925907,1813.50901,0.0419
2021-12-01,BA,Quixabeira,city,835,8,True,8956,2925931,9323.35864,0.0096
2021-12-01,BA,Rafael Jambeiro,city,1302,25,True,22633,2925956,5752.66204,0.0192
2021-12-01,BA,Remanso,city,2710,77,True,41170,2926004,6582.46296,0.0284
2021-12-01,BA,Retirolândia,city,1659,13,True,14495,2926103,11445.32597,0.0078
2021-12-01,BA,Riachão das Neves,city,1497,45,True,22334,2926202,6702.78499,0.0301
2021-12-01,BA,Riachão do Jacuípe,city,4790,49,True,33468,2926301,14312.1788,0.0102
2021-12-01,BA,Riacho de Santana,city,1847,41,True,35593,2926400,5189.2226,0.0222
2021-12-01,BA,Ribeira do Amparo,city,1064,9,True,14612,2926509,7281.68629,0.0085
2021-12-01,BA,Ribeira do Pombal,city,5465,72,True,53956,2926608,10128.62332,0.0132
2021-12-01,BA,Ribeirão do Largo,city,467,10,True,5343,2926657,8740.40801,0.0214
2021-12-01,BA,Rio de Contas,city,742,7,True,12932,2926707,5737.70492,0.0094
2021-12-01,BA,Rio do Antônio,city,1042,17,True,15448,2926806,6745.20974,0.0163
2021-12-01,BA,Rio do Pires,city,323,11,True,11663,2926905,2769.44182,0.0341
2021-12-01,BA,Rio Real,city,3120,47,True,40976,2927002,7614.2132,0.0151
2021-12-01,BA,Rodelas,city,345,7,True,9442,2927101,3653.88689,0.0203
2021-12-01,BA,Ruy Barbosa,city,2706,33,True,30857,2927200,8769.48504,0.0122
2021-12-01,BA,Salinas da Margarida,city,1510,21,True,15862,2927309,9519.60661,0.0139
2021-12-01,BA,Salvador,city,238447,8082,True,2886698,2927408,8260.19902,0.0339
2021-12-01,BA,Santa Bárbara,city,1558,23,True,20883,2927507,7460.6139,0.0148
